OBJECTID,HUC_8,HUC_12,HU_8_NAME,HU_10_NAME,HU_12_NAME,county_10,countylsad,city_10,citylsda,,blank
244708,,070200090404,,County Ditch No 31-Coon Creek,County Ditch No 31-Coon Creek,,,,,,
244709,,071000020101,,Story Brook,Story Brook,,,,,,
244710,,071000020103,,Town of Petersburg-Des Moines River,Town of Petersburg-Des Moines River,,,,,,
244711,,070200090603,,East Chain Lake,East Chain Lake,,,,,,
244712,,071000030105,,Clayton Lake,Clayton Lake,,,,,,
244713,,070200090505,,Middle East Branch Blue Earth River,Middle East Branch Blue Earth River,,,,,,
244714,,070200090802,,Badger Creek,Badger Creek,,,,,,
244716,,070802030101,,Bear Lake,Bear Lake,,,,,,
244717,,070200090701,,Dutch Creek,Dutch Creek,,,,,,
244719,,071000030102,,Fourmile Creek-East Fork Des Moines River,Fourmile Creek-East Fork Des Moines River,,,,,,
244721,,070200090702,,Hall Lake,Hall Lake,,,,,,
244722,,070200090801,,Little Badger Creek,Little Badger Creek,,,,,,
244723,,070200090503,,Upper East Branch Blue Earth River,Upper East Branch Blue Earth River,,,,,,
244725,,070200090507,,Lower East Branch Blue Earth River,Lower East Branch Blue Earth River,,,,,,
244726,,070200090506,,County Ditch No 5,County Ditch No 5,,,,,,
244727,,070200090604,,Lower South Creek,Lower South Creek,,,,,,
244728,,071000010701,,Judicial Ditch No 3,Judicial Ditch No 3,,,,,,
244729,,071000030101,,Headwaters East Fork Des Moines River,Headwaters East Fork Des Moines River,,,,,,
244730,,071000030103,,County Ditch No 11,County Ditch No 11,,,,,,
244731,,070200090502,,Foster Creek,Foster Creek,,,,,,
244732,,070200090703,,Lily Creek,Lily Creek,,,,,,
244733,,070200090704,,Center Creek,Center Creek,,,,,,
244734,,070802020102,,County Ditch No 77,County Ditch No 77,,,,,,
244735,,071000010504,,County Ditch No 3,County Ditch No 3,,,,,,
244736,,070200090501,,County Ditch No 1,County Ditch No 1,,,,,,
244737,,070200090906,,Judicial Ditch No 3,Judicial Ditch No 3,,,,,,
244738,,070200090803,,City of Blue Earth-Blue Earth River,City of Blue Earth-Blue Earth River,,,,,,
244739,,071000010505,,Lower Okabena Creek,Lower Okabena Creek,,,,,,
244740,,071000010806,,City of Jackson-Des Moines River,City of Jackson-Des Moines River,,,,,,
244741,,070200090902,,South Fork Elm Creek,South Fork Elm Creek,,,,,,
244743,,071000010702,,South Heron Lake,South Heron Lake,,,,,,
244744,,070200090907,,Elm Creek,Elm Creek,,,,,,
244748,,070200090905,,Martin Lake-Elm Creek,Martin Lake-Elm Creek,,,,,,
