OBJECTID,HUC_8,HUC_12,HU_8_NAME,HU_10_NAME,HU_12_NAME,county_10,countylsad,city_10,citylsda,,blank
56919,,071000060208,,Headwaters Elk River,Drainage Ditch 20-Cedar Creek,,,Sioux Rapids,Sioux Rapids city,,
56922,,071000060403,,North Fork Little Maquoketa River,Indian Creek-North Raccoon River,,,Rembrandt,Rembrandt city,,
56923,,070802050903,,Wildcat Bluff-Cedar River,Indian Creek,,,Newell,Newell city,,
56924,,070600050101,,Bush Branch,South Fork Catfish Creek,,,Marathon,Marathon city,,
56925,,070801020805,,Welty Creek-Middle River,Smith Creek-Wapsipinicon River,,,Galt,Galt city,,
56964,,070600060904,,Coon Creek,Deep Creek,,,Eagle Grove,Eagle Grove city,,
56965,,070600060205,,Box Elder Creek-South River,Honey Creek,,,Clarion,Clarion city,,
56966,,070802051005,,South Soap Creek,McFarlane State Park-Cedar River,,,Belmond,Belmond city,,
56968,,070802050806,,City of Prairie du Chien-Mississippi River,Rock Creek,,,Urbana,Urbana city,,
56970,,070801020804,,Swan Lake Branch,Sand Creek,,,Shellsburg,Shellsburg city,,
56971,,070802050602,,Mad Creek,Prescotts Creek-Black Hawk Creek,,,Norway,Norway city,,
56972,,071000061202,,Lime Creek,Headwaters West Buttrick Creek,,,Newhall,Newhall city,,
56973,,071000081002,,Little White Breast Creek,Upper Otter Creek,,,Mount Auburn,Mount Auburn city,,
56976,,071000080901,,English Creek,Headwaters South River,,,Luzerne,Luzerne city,,
56977,,070600060702,,Walnut Creek,Headwaters Lytle Creek,,,Keystone,Keystone city,,
56978,,070801051001,,Squaw Creek,Headwaters Elk Creek,,,Garrison,Garrison city,,
56979,,070801070304,,Squaw Creek,Honey Creek,,,Blairstown,Blairstown city,,
56981,,070600040606,,Buck Creek,Honey Creek-Volga River,,,Belle Plaine,Belle Plaine city,,
56982,,070600040104,,Mud Creek-Prairie Creek,Simpson Creek-Crane Creek,,,Atkins,Atkins city,,
56983,,070801020504,,Village of Van Horne-Prairie Creek,Buck Creek,,,Northwood,Northwood city,,
56989,,070801020905,,Spring Branch,Nugents Creek-Buffalo Creek,,,Manly,Manly city,,
56990,,071000080803,,Upper South Fork Iowa River,Middle Squaw Creek,,,Kensett,Kensett city,,
56992,,071000081402,,Berton Bay-Mississippi River,Stony Creek-White Breast Creek,,,Joice,Joice city,,
56993,,071000080502,,Cottonwood Drain,South Fork Clanton Creek,,,Hanlontown,Hanlontown city,,
56994,,071000080501,,Troy Creek,North Fork Clanton Creek,,,Guttenberg,Guttenberg city,,
56996,,070600060704,,Burr Oak Creek,Otter Creek,,,Garnavillo,Garnavillo city,,
56997,,070802070904,,Competine Creek,Dowd Creek,,,Garber,Garber city,,
57000,,070802050801,,Lake Creek,Headwaters Wolf Creek,,,Farmersburg,Farmersburg city,,
57001,,070600040402,,Drainage Ditch 192-Squaw Creek,Headwaters Roberts Creek,,,Elkport,Elkport city,,
57002,,070600061005,,Silver Creek,Hainer Creek-Maquoketa River,,,Elkader,Elkader city,,
57003,,070802070802,,Tank Pond,South Minerva Creek,,,Clayton,Clayton city,,
57004,,070801050202,,Blue Creek,Village of Ellsworth-South Skunk River,,,Linn Grove,Linn Grove city,,
57005,,070600060401,,Indian Creek-White Breast Creek,Buck Creek-Maquoketa River,,,Lakeside,Lakeside city,,
57006,,070600060705,,South Otter Creek,Washington Mills-Lytle Creek,,,Alta,Alta city,,
57007,,070801020803,,East Branch Blue Creek,Malone Creek-Wapsipinicon River,,,Albert City,Albert City city,,
57008,,071000060602,,Rock Creek-Cedar River,Lower Drainage Ditch 9 & 13,,,Wall Lake,Wall Lake city,,
57009,,071000060207,,Bear Creek,Drainage Ditch 81,,,Schaller,Schaller city,,
57010,,071000060502,,Wall Lake Inlet,Headwaters West Fork Camp Creek,,,Sac City,Sac City city,,
57013,,070600030603,,Miller Creek,Upper Little Maquoketa River,,,Smithland,Smithland city,,
57014,,070802051204,,70600060605,Bear Creek,,,Sloan,Sloan city,,
57015,,070802080404,,Dry Creek-Wapsipinicon River,Sugar Creek,,,Sergeant Bluff,Sergeant Bluff city,,
57016,,071000061004,,English Creek,Village of Farlin-Harrdin Creek,,,Salix,Salix city,,
57019,,071000061402,,Drainage Ditch 1-Boone River,Doe Brook-North Raccoon River,,,Pierson,Pierson city,,
