comid,rusle_sum,rusle_majority,rusle_mean,counts
22474117,1.34452e+06,3,110.297,36570
22472037,26217,60,36.362,721
22472121,104530,1,33.9714,3077
17554959,254978,1,35.063,7272
17219024,3.96498e+06,235,1162.15,27328
17243984,3.08909e+06,48,132.67,69852
17554919,782832,91,173.229,18160
17219344,553528,2,122.354,4524
11916317,897586,30,202.683,13325
6609898,378397,60,59.1708,6395
6609898,378397,60,59.1708,6395
6609906,299904,78,73.7408,4067
6609916,1.23939e+06,411,416.85,28998
6597756,1.15113e+06,387,327.112,28565
13357540,348981,0,61.4728,5677
6597380,64233,2,8.14726,7884
22471939,117666,1,24.8818,4729
22474253,782368,230,210.751,18523
14804053,707060,699,703.157,8698
22472057,997059,293,315.034,24055
22472017,1.1139e+06,367,401.178,27728
22471971,2.14126e+06,809,766.233,59872
17554985,781632,101,118.29,19781
6965643,721145,1,43.8037,31033
13336456,2.09988e+06,97,187.872,22626
2165785,2.36464e+06,62,45.5958,51861
17227223,457004,37,357.322,6448
17227199,801518,107,774.586,7194
17227143,1.84276e+06,370,1047.39,24174
13210220,723181,84,227.452,8406
11916815,2.77751e+06,968,818.035,17523
6597512,548592,181,200.339,11480
13311841,1.683e+08,43963,64966.2,2.61244e+06
22474317,188989,60,40.279,4692
22474329,875873,237,251.061,23406
22475083,754334,377,420.014,16105
22474801,369459,60,39.6969,9307
11915477,4.50565e+06,1549,1102.47,29164
11915341,5.18311e+06,1531,2198.86,30656
11915285,5.07465e+06,1515,1552.25,29434
22474253,782368,230,210.751,18523
14620356,191734,23,38.9862,4918
19207485,6.40093e+06,717,1011.25,31672
17207980,207050,413,355.309,3099
13373425,2.16926e+06,1693,1616.35,16825
14620386,1.66921e+06,48,66.4284,50256
6609842,47406,4,7.14053,6639
13375337,1.67426e+06,144,201.346,19153
11919635,1.21598e+06,27,45.8171,26540
7016421,669360,284,260.842,17791
22250381,5.29841e+06,1037,962.92,65399
7017243,1.98251e+06,468,618.629,63835
7017253,2.20848e+06,492,677.659,70803
7017043,836455,278,264.324,17973
22477241,476343,75,79.6427,5981
14624732,3.10529e+06,1000,950.815,19992
6948704,969936,161,187.062,36567
13377411,621131,74,70.9783,8751
7016973,497937,129,126.838,11957
17239296,780932,122,122.476,17699
17239840,4.30009e+07,14372,11853,911682
7243863,436369,107,119.367,10944
7243747,706898,174,200.17,22235
17239842,1.80985e+06,73,98.4361,18386
6595946,1.61668e+06,100,121.094,56599
14619108,2483,0,13.4946,184
6620244,1.57072e+06,414,382.264,23126
6620244,1.57072e+06,414,382.264,23126
