HUC_12,FEATUREID
071000070501,6620144
071000070902,6621036
071000070502,6621644
071000061505,6610744
071000070501,6620016
071000070201,6617930
071000070603,6621110
071000061505,6610956
071000061601,6609754
071000061701,6609826
071000061505,6610114
071000070502,6620646
071000061405,6608280
071000061602,6609804
071000061602,6609772
071000061701,6609918
071000070502,6620898
071000061602,6610100
071000070603,6620668
071000070601,6620226
071000070401,6620602
071000061601,6609690
071000070902,6621092
071000061701,6609970
071000061602,6610110
071000070903,6621392
071000070904,6621252
071000070501,6620110
071000061702,6610172
071000061601,6609736
071000070601,6621598
071000061505,6610740
071000070704,6621384
071000070603,6620970
071000070801,6621658
071000061601,6609708
071000070803,6621026
071000060904,6607680
071000061505,6609738
071000061505,6610954
071000061703,6610250
071000061404,6608256
071000061404,6613784
071000070603,6620814
071000070601,6620296
071000070603,6620984
071000070502,6620508
071000061602,6609834
071000070601,6621594
071000070501,6620078
071000070602,6621636
071000070904,6621272
071000061602,6609744
071000070803,6620924
071000070104,6619970
071000061703,6609914
071000070101,937100088
071000070203,6618018
071000070206,6620148
071000070402,6620324
071000070703,6621040
071000070601,6620416
071000070701,6621018
071000070205,6621564
071000070501,6620108
071000070701,6621054
071000070206,6620184
071000070404,6620626
071000070903,6619378
071000070901,6621430
071000070202,6617998
071000070701,6621684
071000070704,6621164
071000070204,6618196
071000070201,6617942
071000070701,6620918
071000070402,6620274
071000070402,6620354
071000070401,6620544
071000070201,6617912
071000070404,6620690
071000070206,6619994
071000070702,6620818
071000070206,6620178
071000070204,6618206
071000070903,6621442
071000070704,6621396
071000070704,6621410
071000070802,6620582
071000070702,6620880
071000070704,6621690
071000070101,937100087
071000070703,6621256
071000070901,6621432
071000070704,6621180
071000070203,6618084
071000070702,6620826
071000070402,6620472
071000070404,6620494
071000070703,6621200
071000070204,6618158
071000070404,6620688
071000070903,6619380
071000070501,6620122
071000070205,6619676
071000070101,6618132
071000070402,6620360
071000070404,6620598
071000070403,6620792
071000070204,6619620
071000070402,6620152
071000070101,6619722
071000070703,6621108
071000070401,6620638
071000070402,6620164
071000070205,6621560
071000070203,6618012
071000070703,6621278
071000070102,6619860
071000070403,6620762
071000070703,6621072
071000070703,6621298
071000070701,6620978
071000070205,6619870
071000070402,6620310
071000070404,6620522
071000070702,6620996
071000070202,6617968
071000070206,6620170
